id,ra,dec,mjd,cmag,cerr,filter
169.42996,185.4311572886184,-31.995321813800388,57112.27053951612,21.525642,0.045843,g
169.42996,185.4311550395672,-31.99532153847739,57112.27260201192,21.25215,0.038733,r
169.42996,185.4311535350768,-31.995320720448277,57112.274662347976,21.213234,0.041171,i
169.42996,185.4311554270324,-31.995321231886532,57112.27672673855,21.444319,0.050769,g
169.42996,185.43115324736243,-31.995320638706275,57112.27880252106,21.27994,0.032913,r
169.42996,185.4311535468797,-31.99532066807124,57112.280857849866,21.222097,0.042409,i
169.42996,185.43115788308532,-31.99532288615553,57112.28292315174,21.5054,0.045441,g
169.42996,185.43115603143792,-31.99532211150256,57112.284983548336,21.23456,0.030405,r
169.42996,185.4311533128353,-31.995320848891023,57112.28704134701,21.148897,0.038283,i
169.42996,185.4311562306042,-31.995320685081523,57112.2891034917,21.513168,0.024532,g
169.42996,185.43115561990763,-31.99531960504632,57112.2935995399,21.5189,0.022119,g
169.42996,185.43115209857467,-31.99532097061504,57112.29809646355,21.56225,0.028352,g
169.42996,185.43115757191464,-31.99532280800713,57112.30259470874,21.551872,0.020813,g
169.42996,185.43116014361004,-31.995321620042315,57112.307080823,21.570154,0.023527,g
169.42996,185.43115562680973,-31.99532151022276,57112.311564181,21.548735,0.016893,g
169.42996,185.4311538043164,-31.995320641126916,57112.31606090814,21.590225,0.018602,g
169.42996,185.43115161772064,-31.995320328443476,57112.32055469742,21.593475,0.017898,g
169.42996,185.4311596302653,-31.995322609649783,57112.32504705526,21.613592,0.01428,g
169.42996,185.431162048387,-31.99532273783446,57112.32952738367,21.591637,0.015084,g
169.42996,185.4311534919357,-31.99532002356016,57112.334010778926,21.34873,0.017261,r
169.42996,185.43115209599225,-31.995319642744462,57112.33850473911,21.347206,0.014252,r
169.42996,185.4311499924333,-31.99532011235829,57112.34300101036,21.353767,0.014252,r
169.42996,185.43115481694107,-31.9953213448624,57112.3474816992,21.36809,0.014853,r
169.42996,185.4311588902249,-31.995322062717552,57112.35623015417,21.379946,0.019268,r
169.42996,185.43114898975924,-31.995323504248372,57112.99011407886,21.643406,0.135415,g
169.42996,185.43115263020616,-31.995320665367213,57112.99217857793,21.475643,0.084587,r
169.42996,185.4311520224867,-31.99532069780939,57112.9942361326,21.089378,0.060375,i
169.42996,185.4311530059267,-31.9953201863154,57112.996295238845,21.696594,0.130087,g
169.42996,185.43115388448064,-31.995320629592037,57112.99835740356,21.399775,0.066225,r
169.42996,185.4311542675378,-31.995320714547123,57113.00042884657,21.198872,0.061201,i
169.42996,185.4311495921913,-31.995321149657297,57113.00249109836,21.440718,0.092187,g
169.42996,185.431151777781,-31.99532067884598,57113.0045547951,21.238184,0.102247,r
169.42996,185.43115326298027,-31.9953196341828,57113.00661853468,21.198366,0.069261,i
169.42996,185.43115249738057,-31.99532369709813,57113.008679552,21.534597,0.098319,g
169.42996,185.43115402185845,-31.995320947103053,57113.010728803,21.554096,0.064318,r
169.42996,185.43115257313784,-31.995320477792013,57113.012786162086,21.387342,0.061305,i
169.42996,185.4311502474539,-31.99532105334385,57113.01484686136,21.534534,0.089473,g
169.42996,185.4311512826646,-31.99532006821805,57113.0169224292,21.301664,0.057195,r
169.42996,185.4311519464064,-31.99531994800271,57113.01898872014,21.092287,0.061098,i
169.42996,185.43115375458893,-31.995322997925324,57113.02103991667,21.79307,0.108071,g
169.42996,185.4311533580675,-31.995320870380823,57113.02310674032,21.321877,0.056291,r
169.42996,185.4311536230509,-31.99532154029497,57113.02518512588,21.338211,0.05521,i
169.42996,185.43114971506228,-31.995321217753773,57113.027260414325,21.81759,0.122045,g
169.42996,185.4311518800274,-31.99531975944089,57113.029328252655,21.41826,0.054786,r
169.42996,185.43115208505895,-31.99532018772807,57113.03138888953,21.21958,0.051079,i
169.42996,185.43115129625875,-31.99532248770964,57113.03344372241,21.68443,0.103246,g
169.42996,185.43115139383315,-31.995321087692776,57113.03550911183,21.414616,0.056291,r
169.42996,185.4311531844893,-31.995319368378595,57113.03758049943,21.299953,0.051183,i
169.42996,185.43114970134712,-31.995321419725613,57113.03966165474,21.755657,0.091987,g
169.42996,185.43115189599484,-31.99531998869603,57113.04171965737,21.323719,0.043649,r
169.42996,185.43115274446876,-31.99532019938489,57113.04377519339,21.309624,0.043957,i
169.42996,185.43115139063391,-31.99532180520698,57113.04584581265,21.856224,0.094802,g
169.42996,185.43115146894004,-31.995320620348647,57113.04790786654,21.419151,0.048866,r
169.42996,185.4311521264455,-31.99532093088566,57113.04996076226,21.2804,0.045298,i
169.42996,185.4311493472578,-31.995321116443005,57113.05201398349,21.76226,0.099225,g
169.42996,185.4311500760097,-31.995320816798515,57113.05408294499,21.443197,0.057997,r
169.42996,185.4311510203385,-31.995320049742627,57113.05614621984,21.258505,0.055313,i
169.42996,185.43115392511075,-31.99532250691385,57113.05820424808,21.820314,0.101034,g
169.42996,185.43115270539963,-31.995321713739425,57113.06027112482,21.548641,0.074151,r
169.42996,185.43115292214415,-31.99532041051401,57113.06233874289,21.414965,0.049944,i
169.42996,185.43115033144844,-31.99532109630353,57113.06441188743,21.875996,0.095506,g
169.42996,185.4311525504494,-31.995320324570866,57113.06647146493,21.36267,0.056492,r
169.42996,185.4311534054609,-31.995320101510703,57113.06853260286,21.311737,0.044782,i
169.42996,185.43115102365223,-31.99532124474997,57113.0705967946,21.81773,0.09832,g
169.42996,185.43115231180576,-31.99532101006319,57113.07266644575,21.410246,0.052679,r
169.42996,185.4311529126299,-31.99532162565436,57113.07472231565,21.376982,0.047363,i
169.42996,185.4311511217732,-31.995320182381462,57113.07678737398,21.870062,0.093495,g
169.42996,185.4311521805989,-31.99532019291704,57113.07885478437,21.397686,0.052378,r
169.42996,185.43115257536667,-31.995320651499537,57113.0809102701,21.365831,0.045299,i
169.42996,185.43115361887303,-31.99532173164896,57113.08296847297,21.757023,0.080124,g
169.42996,185.43115248067775,-31.99532068589973,57113.0850310172,21.418657,0.046558,r
169.42996,185.4311530082267,-31.99532080302638,57113.08709481731,21.313074,0.042099,i
169.42996,185.43115070104105,-31.99532023215652,57113.08915613545,21.855738,0.081733,g
169.42996,185.4311531433117,-31.995319766160595,57113.09123071144,21.437777,0.041742,r
169.42996,185.43115278147667,-31.99531994580265,57113.093296258245,21.344572,0.042615,i
169.42996,185.4311526194768,-31.99532082816279,57113.09535488952,21.851372,0.084548,g
169.42996,185.43115254277703,-31.99531990673094,57113.09742764803,21.440722,0.040739,r
169.42996,185.43115208700675,-31.9953205807735,57113.09949975647,21.389881,0.04757,i
169.42996,185.43115108139216,-31.995320862010388,57113.10156173538,21.78801,0.071479,g
169.42996,185.4311526097201,-31.995320331752247,57113.10362179717,21.489412,0.03823,r
169.42996,185.43115227270496,-31.995320738941118,57113.10567983892,21.326883,0.039417,i
169.42996,185.43115304312136,-31.99532251717771,57113.1077437182,21.78321,0.070876,g
169.42996,185.4311528212795,-31.99532044341757,57113.10980399791,21.513979,0.051174,r
169.42996,185.43115157318005,-31.995321070002383,57113.111858188175,21.380493,0.049841,i
169.42996,185.4311515719396,-31.99532089694377,57113.11391978804,21.773315,0.079823,g
169.42996,185.43115287918724,-31.99531942427607,57113.115977911744,21.470818,0.048866,r
169.42996,185.43115290368024,-31.995319815890586,57113.11804581387,21.382277,0.047053,i
169.42996,185.43115251572937,-31.99532180887988,57113.120110068005,21.877705,0.081834,g
169.42996,185.4311534581681,-31.99532056335592,57113.12216804968,21.491432,0.04696,r
169.42996,185.4311527192655,-31.995320575119308,57113.12422931055,21.334343,0.050667,i
169.42996,185.4311529310563,-31.99532112969523,57113.12628781097,21.875538,0.082839,g
169.42996,185.4311529108545,-31.9953202091896,57113.12834266154,21.41675,0.038632,r
169.42996,185.43115261334137,-31.99531976834069,57113.130406197626,21.396612,0.039521,i
169.42996,185.4311526172073,-31.99532238024856,57113.132466647774,21.884165,0.063538,g
169.42996,185.4311525544225,-31.99532054767776,57113.13452713378,21.557264,0.042344,r
169.42996,185.43115280850367,-31.995320408578188,57113.13658772037,21.326141,0.036427,i
169.42996,185.4311518421703,-31.9953207933695,57113.13865098544,21.89426,0.072786,g
169.42996,185.43115313550288,-31.995320395251685,57113.14070788026,21.471296,0.0292,r
169.42996,185.43115235298745,-31.995320474539177,57113.14275638247,21.38308,0.039521,i
169.42996,185.4311533121133,-31.995321542286774,57113.14481829619,21.936457,0.064041,g
169.42996,185.43115350096207,-31.995318478659527,57113.14687818289,21.523893,0.040839,r
169.42996,185.43115179374288,-31.99532012160464,57113.1489533307,21.408522,0.035706,i
169.42996,185.43115268891347,-31.995321198803666,57113.15102747176,21.823719,0.066553,g
169.42996,185.4311525831421,-31.995320121504385,57113.15309209796,21.483412,0.040839,r
169.42996,185.43115249190345,-31.995319984768496,57113.15515053645,21.446438,0.037665,i
169.42996,185.43115337089355,-31.99532263245514,57113.157223502174,21.968836,0.07148,g
169.42996,185.43115368024235,-31.995321517352743,57113.15927359834,21.55447,0.045154,r
169.42996,185.43115239569525,-31.99532108922784,57113.16133697145,21.425583,0.040243,i
169.42996,185.43115243668527,-31.99532101723869,57113.16338898009,21.995094,0.074496,g
169.42996,185.4311524122686,-31.995319245102557,57113.16545277601,21.50865,0.045154,r
169.42996,185.4311524645948,-31.995320192253995,57113.16750983894,21.442177,0.038284,i
169.42996,185.43115323501965,-31.995321593744997,57113.16958188964,21.868584,0.07932,g
